[2026-02-12 20:46:27,530] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-02-12 20:47:44,239] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-02-12 20:55:47,910] WARNING django.request Not Found: /
[2026-02-12 20:55:47,911] WARNING django.server "GET /?ide_webview_request_time=1770900947778 HTTP/1.1" 404 2203
[2026-02-12 20:55:47,974] WARNING django.request Not Found: /@vite/client
[2026-02-12 20:55:47,976] WARNING django.server "GET /@vite/client HTTP/1.1" 404 2218
[2026-02-12 20:57:25,515] WARNING django.request Not Found: /
[2026-02-12 20:57:25,516] WARNING django.server "GET / HTTP/1.1" 404 2164
[2026-02-12 20:57:25,905] WARNING django.request Not Found: /favicon.ico
[2026-02-12 20:57:25,907] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 2215
[2026-02-12 20:57:32,048] INFO django.server "GET /admin HTTP/1.1" 301 0
[2026-02-12 20:57:32,084] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2026-02-12 20:57:32,329] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4195
[2026-02-12 20:57:33,484] INFO django.server "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[2026-02-12 20:57:33,489] INFO django.server "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[2026-02-12 20:57:33,490] INFO django.server "GET /static/admin/css/login.css HTTP/1.1" 200 958
[2026-02-12 20:57:33,497] INFO django.server "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
[2026-02-12 20:57:33,498] INFO django.server "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[2026-02-12 20:57:33,505] INFO django.server "GET /static/admin/css/base.css HTTP/1.1" 200 21310
[2026-02-12 20:57:33,512] INFO django.server "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[2026-02-12 20:57:39,796] INFO django.server "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4327
[2026-02-12 20:57:45,792] INFO django.server "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4327
[2026-02-12 20:57:49,937] INFO django.server "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2026-02-12 20:57:49,981] INFO django.server "GET /admin/ HTTP/1.1" 200 6224
[2026-02-12 20:57:50,029] INFO django.server "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[2026-02-12 20:57:50,029] INFO django.server "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[2026-02-12 20:57:50,031] INFO django.server "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[2026-02-12 20:57:52,852] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11009
[2026-02-12 20:57:52,923] INFO django.server "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
[2026-02-12 20:57:52,931] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 20:57:52,933] INFO django.server "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[2026-02-12 20:57:52,947] INFO django.server "GET /static/admin/js/core.js HTTP/1.1" 200 5682
[2026-02-12 20:57:52,956] INFO django.server "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
[2026-02-12 20:57:52,960] INFO django.server "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
[2026-02-12 20:57:52,962] INFO django.server "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[2026-02-12 20:57:52,963] INFO django.server "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[2026-02-12 20:57:52,976] INFO django.server "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[2026-02-12 20:57:52,980] INFO django.server "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[2026-02-12 20:57:53,003] INFO django.server "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
[2026-02-12 20:57:53,036] INFO django.server "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[2026-02-12 20:57:53,038] INFO django.server "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
[2026-02-12 20:57:53,067] INFO django.server "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[2026-02-12 20:57:53,068] INFO django.server "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
